City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,bandarbeyla,9.4942,50.8122,26.23,71,12,4.97,SO,1708097719
270,elyria,41.3684,-82.1077,0.73,60,84,0.45,US,1708097719
271,yubileyny,55.9333,37.8333,-7.65,97,97,1.34,RU,1708097719
272,marrakesh,31.6315,-8.0083,23.04,56,75,1.03,MA,1708097720
273,gadzhiyevo,69.2551,33.3362,-12.42,95,23,7.92,RU,1708097720
274,garachico,28.7781,-17.7646,20.27,56,75,4.63,ES,1708097720
275,fort st. john,56.2499,-120.8529,-14.06,85,20,3.6,CA,1708097720
276,howard springs,-12.497,131.047,27.95,96,100,2.29,AU,1708097720
277,saint-denis,48.9167,2.3333,13.77,72,100,5.14,FR,1708097720
278,dzhetygara,52.1908,61.2006,-22.94,88,90,2.43,KZ,1708097720
279,khasab,26.1799,56.2477,24.55,69,6,1.49,OM,1708097720
280,novaya igirma,57.1334,103.9112,-28.93,99,100,1.74,RU,1708097721
281,hobe sound,27.0595,-80.1364,25.52,67,40,4.12,US,1708097721
282,fort bragg,35.139,-79.006,14.55,59,40,0.0,US,1708097721
283,nur-sultan,51.1801,71.446,-27.03,76,20,6.0,KZ,1708097721
284,kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1708097721
285,mili,6.0815,171.735,27.42,81,99,9.11,MH,1708097721
286,lupane,-18.9315,27.807,31.95,29,5,2.14,ZW,1708097721
287,atbasar,51.8,68.3333,-28.92,97,8,2.62,KZ,1708097721
288,dame-marie,18.5667,-74.4167,27.21,65,11,2.04,HT,1708097721
289,tsiombe,-25.3,45.4833,25.64,78,81,5.96,MG,1708097722
290,okhotsk,59.3833,143.3,-33.39,85,22,3.55,RU,1708097722
291,fredericksburg,38.3032,-77.4605,8.29,37,0,2.68,US,1708097722
292,ghanzi,-21.5667,21.7833,35.11,21,100,6.06,BW,1708097722
293,axim,4.8699,-2.2405,29.47,72,95,5.62,GH,1708097722
294,vorkuta,67.5,64.0,-29.38,100,55,3.04,RU,1708097722
295,altay,47.8667,88.1167,-27.74,90,66,2.72,CN,1708097722
296,anloga,5.7947,0.8973,30.24,71,97,6.95,GH,1708097723
297,hadibu,12.65,54.0333,25.38,73,78,3.74,YE,1708097723
298,hays,30.0502,-98.0336,16.9,86,100,1.34,US,1708097723
299,kaedi,16.1465,-13.5047,40.59,6,33,6.9,MR,1708097723
300,kaoma,-14.7833,24.8,27.57,49,98,0.51,ZM,1708097723
301,quellon,-43.1167,-73.6167,17.77,66,100,3.19,CL,1708097723
302,mbandaka,0.0487,18.2603,31.99,45,94,2.29,CD,1708097724
303,mejit,10.2753,170.8646,26.23,80,84,9.8,MH,1708097724
304,san luis de la loma,17.2706,-100.8939,28.65,51,85,1.45,MX,1708097724
305,afaahiti,-17.75,-149.2833,23.93,78,92,5.37,PF,1708097724
306,gilgit,35.9221,74.3087,6.16,35,84,0.26,PK,1708097724
307,remire-montjoly,4.9167,-52.2667,30.02,70,100,6.17,GF,1708097724
308,kargasok,59.0556,80.8572,-18.35,96,100,4.92,RU,1708097724
309,vorgashor,67.5833,63.95,-29.69,99,53,3.19,RU,1708097725
310,prince george,53.9166,-122.753,-18.31,84,0,1.03,CA,1708097456
311,enewetak,11.3474,162.3373,26.25,82,83,11.83,MH,1708097725
312,xiazhen,34.8022,117.1117,5.06,63,0,4.67,CN,1708097725
